xdata,ydata1,ydata2
1338476400000,6,12
1339476400000,7,14
1340476400000,10,20
1341476400000,12,24
1342476400000,5,10
1343476400000,8,16
1344476400000,15,30
1345476400000,9,18
1346476400000,9,18
1347476400000,11,22
1348476400000,13,26
1349476400000,16,32
1350476400000,17,34
1351476400000,19,38
1352476400000,20,40
1353476400000,18,36
1354476400000,19,38
1355476400000,18,36
1356476400000,19,38
1357476400000,21,42
1358476400000,24,48
1359476400000,22,44
1360476400000,23,46
1361476400000,33,66
1362476400000,30,60
1363476400000,35,70
1364476400000,32,64
1365476400000,31,62
1366476400000,31,62
1367476400000,35,70
1368476400000,39,78
1369476400000,37,74
1370476400000,41,82
1371476400000,37,74
1372476400000,37,74
1373476400000,42,84
1374476400000,42,84
1375476400000,41,82
1376476400000,46,92
1377476400000,45,90
1378476400000,43,86
1379476400000,49,98
1380476400000,48,96
1381476400000,51,102
1382476400000,46,92
1383476400000,54,108
1384476400000,49,98
1385476400000,54,108
1386476400000,50,100
1387476400000,57,114
