xdata,ydata1,ydata2,ydata3
10,0,0,0
5,6,12,30
8,10,20,50
10,18,36,90
12,24,48,120
6,50,100,250
14,24,48,120
17,14,28,70
15,40,80,200
11,54,108,270
11,30,60,150
19,77,154,385
22,36,72,180
17,39,78,195
24,112,224,560
22,30,60,150
24,112,224,560
25,136,272,680
23,36,72,180
27,19,38,95
22,160,320,800
23,168,336,840
27,44,88,220
33,207,414,1035
30,240,480,1200
30,75,150,375
27,234,468,1170
37,243,486,1215
35,252,504,1260
37,203,406,1015
31,120,240,600
36,217,434,1085
36,64,128,320
35,99,198,495
44,170,340,850
40,245,490,1225
41,360,720,1800
41,148,296,740
43,38,76,190
41,273,546,1365
42,160,320,800
49,82,164,410
52,420,840,2100
48,43,86,215
46,132,264,660
50,360,720,1800
52,230,460,1150
55,282,564,1410
57,336,672,1680
54,441,882,2205
